ACM Transactions on Computer-Human Interaction (TOCHI),ACM Transactions on Computer-Human Interaction,TOCHI
ACM Transactions on Computer Systems (TOCS),ACM Transactions on Computer Systems,TOCS
ACM Transactions on Graphics (TOG),ACM Transactions on Graphics,TOG
ACM Transactions on Information Systems (TOIS),ACM Transactions on Information Systems,TOIS
ACM Transactions on Programming Languages and Systems (TOPLAS),ACM Transactions on Programming Languages and Systems,TOPLAS
IEEE/ACM Transactions on Networking (TON),IEEE/ACM Transactions on Networking,TON
ACM Transactions on Software Engineering and Methodology (TOSEM),ACM Transactions on Software Engineering and Methodology,TOSEM
ACM Transactions on Database Systems (TODS),ACM Transactions on Database Systems,TODS
ACM Transactions on Information and System Security (TISSEC),ACM Transactions on Information and System Security,TISSEC
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM Transactions on Asian and Low-Resource Language Information Processing,TALLIP
ACM Transactions on Embedded Computing Systems (TECS),ACM Transactions on Embedded Computing Systems,TECS
ACM Transactions on Computing Education (TOCE),ACM Transactions on Computing Education,TOCE
ACM Transactions on Computational Logic (TOCL),ACM Transactions on Computational Logic,TOCL
ACM Transactions on Design Automation of Electronic Systems (TODAES),ACM Transactions on Design Automation of Electronic Systems,TODAES
ACM Transactions on Internet Technology (TOIT),ACM Transactions on Internet Technology,TOIT
IEEE/ACM Transactions on Audio Speech and Language Processing (TASLP),IEEE/ACM Transactions on Audio Speech and Language Processing,TASLP
IEEE/ACM Transactions on Computational Biology and Bioinformatics (TCBB),IEEE/ACM Transactions on Computational Biology and Bioinformatics,TCBB
Journal of Data and Information Quality (JDIQ),Journal of Data and Information Quality,JDIQ
Journal of Experimental Algorithmics (JEA),Journal of Experimental Algorithmics,JEA
ACM Journal on Emerging Technologies in Computing Systems (JETC),ACM Journal on Emerging Technologies in Computing Systems,JETC
Journal on Computing and Cultural Heritage (JOCCH),Journal on Computing and Cultural Heritage,JOCCH
ACM Transactions on Autonomous and Adaptive Systems (TAAS),ACM Transactions on Autonomous and Adaptive Systems,TAAS
ACM Transactions on Accessible Computing (TACCESS),ACM Transactions on Accessible Computing,TACCESS
ACM Transactions on Architecture and Code Optimization (TACO),ACM Transactions on Architecture and Code Optimization,TACO
ACM Transactions on Algorithms (TALG),ACM Transactions on Algorithms,TALG
ACM Transactions on Applied Perception (TAP),ACM Transactions on Applied Perception,TAP
ACM Transactions on Economics and Computation,ACM Transactions on Economics and Computation,TEAC
ACM Transactions on Interactive Intelligent Systems (TiiS),ACM Transactions on Interactive Intelligent Systems,TIIS
ACM Transactions on Intelligent Systems and Technology (TIST),ACM Transactions on Intelligent Systems and Technology,TIST
ACM Transactions on Knowledge Discovery from Data (TKDD),ACM Transactions on Knowledge Discovery from Data,TKDD
ACM Transactions on Management Information Systems (TMIS),ACM Transactions on Management Information Systems,TMIS
ACM Transactions on Computation Theory (TOCT),ACM Transactions on Computation Theory,TOCT
ACM Transactions on Modeling and Computer Simulation (TOMACS),ACM Transactions on Modeling and Computer Simulation,TOMACS
ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM),ACM Transactions on Multimedia Computing, Communications, and Applications,TOMM
ACM Transactions on Mathematical Software (TOMS),ACM Transactions on Mathematical Software,TOMS
ACM Transactions on Parallel Computing,ACM Transactions on Parallel Computing,TOPC
ACM Transactions on Storage (TOS),ACM Transactions on Storage,TOS
ACM Transactions on Sensor Networks (TOSN),ACM Transactions on Sensor Networks,TOSN
ACM Transactions on Reconfigurable Technology and Systems (TRETS),ACM Transactions on Reconfigurable Technology and Systems,TRETS
ACM Transactions on Spatial Algorithms and Systems,ACM Transactions on Spatial Algorithms and Systems,TSAS
ACM Transactions on the Web (TWEB),ACM Transactions on the Web,TWEB
ACM Computing Surveys (CSUR),ACM Computing Surveys,CSUR
Journal of the ACM (JACM),Journal of the ACM,JACM