"Harvard University","USA","Caribbean"
"Stanford University","USA","Caribbean"
"Massachusetts Institute of Technology","USA","Caribbean"
"University of Cambridge","United Kingdom","Western Europe"
"University of Oxford","United Kingdom","Western Europe"
"Columbia University","USA","Caribbean"
"University of California, Berkeley","USA","Caribbean"
"University of Chicago","USA","Caribbean"
"Princeton University","USA","Caribbean"
"Yale University","USA","Caribbean"
"Cornell University","USA","Caribbean"
"California Institute of Technology","USA","Caribbean"
"University of Tokyo","Japan","Eastern Asia"
"University of Pennsylvania","USA","Caribbean"
"University of California, Los Angeles","USA","Caribbean"
"Kyoto University","Japan","Eastern Asia"
"New York University","USA","Caribbean"
"Swiss Federal Institute of Technology in Zurich","Switzerland","Western Europe"
"Johns Hopkins University","USA","Caribbean"
"University of California, San Diego","USA","Caribbean"
"University of Michigan, Ann Arbor","USA","Caribbean"
"Hebrew University of Jerusalem","Israel","Western Asia"
"Northwestern University","USA","Caribbean"
"Seoul National University","South Korea","Eastern Asia"
"University of Wisconsin–Madison","USA","Caribbean"
"Duke University","USA","Caribbean"
"University of California, San Francisco","USA","Caribbean"
"University of Illinois at Urbana–Champaign","USA","Caribbean"
"University of Texas at Austin","USA","Caribbean"
"University College London","United Kingdom","Western Europe"
"University of Toronto","Canada","Caribbean"
"University of Washington - Seattle","USA","Caribbean"
"Rutgers University-New Brunswick","USA","Caribbean"
"Keio University","Japan","Eastern Asia"
"École normale supérieure - Paris","France","Western Europe"
"École Polytechnique","France","Western Europe"
"Rockefeller University","USA","Caribbean"
"Weizmann Institute of Science","Israel","Western Asia"
"Imperial College London","United Kingdom","Western Europe"
"Waseda University","Japan","Eastern Asia"
"University of Virginia","USA","Caribbean"
"McGill University","Canada","Caribbean"
"Osaka University","Japan","Eastern Asia"
"Dartmouth College","USA","Caribbean"
"University of North Carolina at Chapel Hill","USA","Caribbean"
"Pennsylvania State University, University Park","USA","Caribbean"
"Ohio State University, Columbus","USA","Caribbean"
"Lomonosov Moscow State University","Russia","Eastern Europe"
"University of Minnesota, Twin Cities","USA","Caribbean"
"University of Paris-Sud","France","Western Europe"
"University of Southern California","USA","Caribbean"
"Purdue University, West Lafayette","USA","Caribbean"
"University of Pittsburgh - Pittsburgh Campus","USA","Caribbean"
"Carnegie Mellon University","USA","Caribbean"
"Peking University","China","Eastern Asia"
"University of Edinburgh","United Kingdom","Western Europe"
"University of California, Davis","USA","Caribbean"
"Washington University in St. Louis","USA","Caribbean"
"University of Florida","USA","Caribbean"
"University of California, Santa Barbara","USA","Caribbean"
"University of British Columbia","Canada","Caribbean"
"University of Utah","USA","Caribbean"
"University of Colorado Boulder","USA","Caribbean"
"University of Notre Dame","USA","Caribbean"
"National Taiwan University","Taiwan","Eastern Asia"
"University of Texas Southwestern Medical Center","USA","Caribbean"
"Boston University","USA","Caribbean"
"Pierre-and-Marie-Curie University","France","Western Europe"
"University of Manchester","United Kingdom","Western Europe"
"University of Arizona","USA","Caribbean"
"Vanderbilt University","USA","Caribbean"
"Tohoku University","Japan","Eastern Asia"
"Karolinska Institute","Sweden","Western Europe"
"National University of Singapore","Singapore","South-Eastern Asia"
"University of Geneva","Switzerland","Western Europe"
"University of Maryland, College Park","USA","Caribbean"
"University of Rochester","USA","Caribbean"
"Emory University","USA","Caribbean"
"University of Copenhagen","Denmark","Western Europe"
"University of California, Irvine","USA","Caribbean"
"Brown University","USA","Caribbean"
"Ludwig Maximilian University of Munich","Germany","Western Europe"
"Georgia Institute of Technology","USA","Caribbean"
"Tufts University","USA","Caribbean"
"University of Zurich","Switzerland","Western Europe"
"Tel Aviv University","Israel","Western Asia"
"Tsinghua University","China","Eastern Asia"
"Utrecht University","Netherlands","Caribbean"
"Ruprecht Karl University of Heidelberg","Germany","Western Europe"
"King's College London","United Kingdom","Western Europe"
"Sapienza University of Rome","Italy","Western Europe"
"Kyushu University","Japan","Eastern Asia"
"Swiss Federal Institute of Technology in Lausanne","Switzerland","Western Europe"
"Katholieke Universiteit Leuven","Belgium","Western Europe"
"University of Sydney","Australia","Oceania"
"Tokyo Institute of Technology","Japan","Eastern Asia"
"University of Melbourne","Australia","Oceania"
"University of Bonn","Germany","Western Europe"
"Technical University of Munich","Germany","Western Europe"
"Royal Institute of Technology","Sweden","Western Europe"
"Erasmus University Rotterdam","Netherlands","Caribbean"
"Case Western Reserve University","USA","Caribbean"
"University of Alberta","Canada","Caribbean"
"University of Texas MD Anderson Cancer Center","USA","Caribbean"
"Texas A&amp;M University, College Station","USA","Caribbean"
"Arizona State University","USA","Caribbean"
"Yonsei University","South Korea","Eastern Asia"
"Rice University","USA","Caribbean"
"Technion – Israel Institute of Technology","Israel","Western Asia"
"University of Helsinki","Finland","Western Europe"
"University of Oslo","Norway","Western Europe"
"Michigan State University","USA","Caribbean"
"Indiana University - Bloomington","USA","Caribbean"
"University of the Witwatersrand","South Africa","Southern Africa"
"University of Queensland","Australia","Oceania"
"Lund University","Sweden","Western Europe"
"Leiden University","Netherlands","Caribbean"
"Georgetown University","USA","Caribbean"
"Aarhus University","Denmark","Western Europe"
"University of Barcelona","Spain","Western Europe"
"Baylor College of Medicine","USA","Caribbean"
"University of Amsterdam","Netherlands","Caribbean"
"University of Bristol","United Kingdom","Western Europe"
"Uppsala University","Sweden","Western Europe"
"University of Iowa","USA","Caribbean"
"Stony Brook University","USA","Caribbean"
"University of Groningen","Netherlands","Caribbean"
"Korea Advanced Institute of Science and Technology (KAIST)","South Korea","Eastern Asia"
"Radboud University Nijmegen","Netherlands","Caribbean"
"Korea University","South Korea","Eastern Asia"
"University of São Paulo","Brazil","South America"
"Nagoya University","Japan","Eastern Asia"
"University of Colorado Denver","USA","Caribbean"
"University of Montreal","Canada","Caribbean"
"Albert Ludwig University of Freiburg","Germany","Western Europe"
"Ghent University","Belgium","Western Europe"
"University of Glasgow","United Kingdom","Western Europe"
"University of Miami","USA","Caribbean"
"Université libre de Bruxelles","Belgium","Western Europe"
"Paris Diderot University - Paris 7","France","Western Europe"
"McMaster University","Canada","Caribbean"
"University of Birmingham","United Kingdom","Western Europe"
"University of Texas at Dallas","USA","Caribbean"
"VU University Amsterdam","Netherlands","Caribbean"
"Wake Forest University","USA","Caribbean"
"University of Southampton","United Kingdom","Western Europe"
"University of Nottingham","United Kingdom","Western Europe"
"Nanyang Technological University","Singapore","South-Eastern Asia"
"University of New South Wales","Australia","Oceania"
"Osaka City University","Japan","Eastern Asia"
"University of Leeds","United Kingdom","Western Europe"
"Western University (The University of Western Ontario)","Canada","Caribbean"
"Kobe University","Japan","Eastern Asia"
"University of Basel","Switzerland","Western Europe"
"University of Hong Kong","Hong Kong","Eastern Asia"
"Indiana University-Purdue University Indianapolis","USA","Caribbean"
"Humboldt University of Berlin","Germany","Western Europe"
"Free University of Berlin","Germany","Western Europe"
"University of Tübingen","Germany","Western Europe"
"Australian National University","Australia","Oceania"
"Goethe University Frankfurt","Germany","Western Europe"
"University of Houston","USA","Caribbean"
"University of California, Santa Cruz","USA","Caribbean"
"University of Alabama at Birmingham","USA","Caribbean"
"Icahn School of Medicine at Mount Sinai","USA","Caribbean"
"University of Calgary","Canada","Caribbean"
"Mines ParisTech","France","Western Europe"
"University of Gothenburg","Sweden","Western Europe"
"University of Göttingen","Germany","Western Europe"
"Monash University","Australia","Oceania"
"Southern Methodist University","USA","Caribbean"
"Yeshiva University","USA","Caribbean"
"University of South Florida - Tampa","USA","Caribbean"
"Hanyang University","South Korea","Eastern Asia"
"Oregon Health &amp; Science University","USA","Caribbean"
"University of Strasbourg","France","Western Europe"
"University of Cincinnati","USA","Caribbean"
"University of Sheffield","United Kingdom","Western Europe"
"University of Hamburg","Germany","Western Europe"
"George Washington University","USA","Caribbean"
"University of Milan","Italy","Western Europe"
"Iowa State University","USA","Caribbean"
"University of Maryland, Baltimore","USA","Caribbean"
"University of Padua","Italy","Western Europe"
"University of New Mexico","USA","Caribbean"
"Pohang University of Science and Technology","South Korea","Eastern Asia"
"Stockholm University","Sweden","Western Europe"
"Hokkaido University","Japan","Eastern Asia"
"Fudan University","China","Eastern Asia"
"University of Sussex","United Kingdom","Western Europe"
"Université catholique de Louvain","Belgium","Western Europe"
"Wayne State University","USA","Caribbean"
"University of Massachusetts Medical School","USA","Caribbean"
"University of Lausanne","Switzerland","Western Europe"
"Shanghai Jiao Tong University","China","Eastern Asia"
"University of Missouri–Columbia","USA","Caribbean"
"Technical University of Denmark","Denmark","Western Europe"
"Complutense University of Madrid","Spain","Western Europe"
"University of Cologne","Germany","Western Europe"
"Trinity College, Dublin","Ireland","Western Europe"
"University of Bern","Switzerland","Western Europe"
"Chinese University of Hong Kong","Hong Kong","Eastern Asia"
"University of Kansas","USA","Caribbean"
"Sungkyunkwan University","South Korea","Eastern Asia"
"University of Vienna","Austria","Western Europe"
"Zhejiang University","China","Eastern Asia"
"University of Georgia","USA","Caribbean"
"University of Massachusetts Amherst","USA","Caribbean"
"Cardiff University","United Kingdom","Western Europe"
"University of Münster","Germany","Western Europe"
"University of Liverpool","United Kingdom","Western Europe"
"University of Ottawa","Canada","Caribbean"
"University of Erlangen-Nuremberg","Germany","Western Europe"
"Queen Mary University of London","United Kingdom","Western Europe"
"Karlsruhe Institute of Technology","Germany","Western Europe"
"Louisiana State University - Baton Rouge","USA","Caribbean"
"Nanjing University","China","Eastern Asia"
"University of Illinois at Chicago","USA","Caribbean"
"University of Bologna","Italy","Western Europe"
"University of Manitoba","Canada","Caribbean"
"Joseph Fourier University","France","Western Europe"
"University of California, Riverside","USA","Caribbean"
"Julius-Maximilian's University of Würzburg","Germany","Western Europe"
"Aix-Marseille University","France","Western Europe"
"University of Western Australia","Australia","Oceania"
"Laval University","Canada","Caribbean"
"University of Tennessee, Knoxville","USA","Caribbean"
"North Carolina State University","USA","Caribbean"
"Newcastle University","United Kingdom","Western Europe"
"Claude Bernard University Lyon 1","France","Western Europe"
"University of Turin","Italy","Western Europe"
"University of Kiel","Germany","Western Europe"
"University of Connecticut","USA","Caribbean"
"Tulane University","USA","Caribbean"
"University of Oklahoma - Norman Campus","USA","Caribbean"
"Brandeis University","USA","Caribbean"
"Dresden University of Technology","Germany","Western Europe"
"RWTH Aachen University","Germany","Western Europe"
"University of Texas Health Science Center at San Antonio","USA","Caribbean"
"Virginia Commonwealth University","USA","Caribbean"
"University of Montpellier 2","France","Western Europe"
"Dalian University of Technology","China","Eastern Asia"
"Rensselaer Polytechnic Institute","USA","Caribbean"
"Paul Sabatier University - Toulouse III","France","Western Europe"
"Paris Descartes University","France","Western Europe"
"National Cheng Kung University","Taiwan","Eastern Asia"
"University of Delaware","USA","Caribbean"
"Vrije Universiteit Brussel","Belgium","Western Europe"
"Johannes Gutenberg University of Mainz","Germany","Western Europe"
"Maastricht University","Netherlands","Caribbean"
"University of Düsseldorf","Germany","Western Europe"
"University of Dundee","United Kingdom","Western Europe"
"University of Tsukuba","Japan","Eastern Asia"
"Autonomous University of Barcelona","Spain","Western Europe"
"Florida State University","USA","Caribbean"
"University of Texas at San Antonio","USA","Caribbean"
"London School of Hygiene &amp; Tropical Medicine","United Kingdom","Western Europe"
"Lehigh University","USA","Caribbean"
"University of Kentucky","USA","Caribbean"
"Thomas Jefferson University","USA","Caribbean"
"Drexel University","USA","Caribbean"
"Colorado State University - Fort Collins","USA","Caribbean"
"University of Leicester","United Kingdom","Western Europe"
"Durham University","United Kingdom","Western Europe"
"Oregon State University","USA","Caribbean"
"University of Florence","Italy","Western Europe"
"University of Cape Town","South Africa","Southern Africa"
"University at Buffalo, The State University of New York","USA","Caribbean"
"University College Dublin","Ireland","Western Europe"
"University of Science and Technology of China","China","Eastern Asia"
"Virginia Polytechnic Institute and State University","USA","Caribbean"
"University of Naples Federico II","Italy","Western Europe"
"University of Auckland","New Zealand","Oceania"
"University of Texas Health Science Center at Houston","USA","Caribbean"
"Delft University of Technology","Netherlands","Caribbean"
"University of Aberdeen","United Kingdom","Western Europe"
"Queen's University","Canada","Caribbean"
"University of Lisbon","Portugal","Western Europe"
"Hiroshima University","Japan","Eastern Asia"
"University of Waterloo","Canada","Caribbean"
"Okayama University","Japan","Eastern Asia"
"University of Ulm","Germany","Western Europe"
"Chulalongkorn University","Thailand","South-Eastern Asia"
"Dalhousie University","Canada","Caribbean"
"Saint Petersburg State University","Russia","Eastern Europe"
"Norwegian University of Science and Technology","Norway","Western Europe"
"University of Reading","United Kingdom","Western Europe"
"Wageningen University and Research Centre","Netherlands","Caribbean"
"Umeå University","Sweden","Western Europe"
"University of Porto","Portugal","Western Europe"
"Hong Kong University of Science and Technology","Hong Kong","Eastern Asia"
"Sun Yat-sen University","China","Eastern Asia"
"Medical College of Wisconsin","USA","Caribbean"
"City College of New York","USA","Caribbean"
"Hannover Medical School","Germany","Western Europe"
"Washington State University, Pullman","USA","Caribbean"
"Technical University of Berlin","Germany","Western Europe"
"University of South Carolina - Columbia","USA","Caribbean"
"Leipzig University","Germany","Western Europe"
"University of Stuttgart","Germany","Western Europe"
"University of Valencia","Spain","Western Europe"
"Linköping University","Sweden","Western Europe"
"University of Duisburg-Essen","Germany","Western Europe"
"Ruhr University Bochum","Germany","Western Europe"
"University of Bergen","Norway","Western Europe"
"London School of Economics","United Kingdom","Western Europe"
"Wesleyan University","USA","Caribbean"
"University of Pisa","Italy","Western Europe"
"Autonomous University of Madrid","Spain","Western Europe"
"Medical University of Vienna","Austria","Western Europe"
"Stellenbosch University","South Africa","Southern Africa"
"Medical University of South Carolina","USA","Caribbean"
"Charles University in Prague","Czech Republic","Eastern Europe"
"Kyungpook National University","South Korea","Eastern Asia"
"University of Science, Malaysia","Malaysia","South-Eastern Asia"
"University of Liège","Belgium","Western Europe"
"University of Hull","United Kingdom","Western Europe"
"Northeastern University","USA","Caribbean"
"Kansas State University","USA","Caribbean"
"University of Vermont","USA","Caribbean"
"Rush University","USA","Caribbean"
"University of Louisville","USA","Caribbean"
"University of St Andrews","United Kingdom","Western Europe"
"University of Warwick","United Kingdom","Western Europe"
"University of Rome Tor Vergata","Italy","Western Europe"
"University of Innsbruck","Austria","Western Europe"
"Darmstadt University of Technology","Germany","Western Europe"
"Indian Institute of Technology Delhi","India","Southern Asia"
"Federal University of Rio de Janeiro","Brazil","South America"
"University of Antwerp","Belgium","Western Europe"
"National and Kapodistrian University of Athens","Greece","Eastern Europe"
"Boston College","USA","Caribbean"
"Vita-Salute San Raffaele University","Italy","Western Europe"
"Gwangju Institute of Science and Technology","South Korea","Eastern Asia"
"University of Nebraska–Lincoln","USA","Caribbean"
"University of York","United Kingdom","Western Europe"
"National Autonomous University of Mexico","Mexico","Central America"
"University of Regensburg","Germany","Western Europe"
"Yokohama National University","Japan","Eastern Asia"
"University of Adelaide","Australia","Oceania"
"University of Genoa","Italy","Western Europe"
"Queen's University Belfast","United Kingdom","Western Europe"
"University of Marburg","Germany","Western Europe"
"University of Pavia","Italy","Western Europe"
"St George's, University of London","United Kingdom","Western Europe"
"University of Oregon","USA","Caribbean"
"University of Navarra","Spain","Western Europe"
"San Diego State University","USA","Caribbean"
"Nankai University","China","Eastern Asia"
"University of East Anglia","United Kingdom","Western Europe"
"University of Nebraska Medical Center","USA","Caribbean"
"University of Southern Denmark","Denmark","Western Europe"
"Eindhoven University of Technology","Netherlands","Caribbean"
"Xiamen University","China","Eastern Asia"
"University of Otago","New Zealand","Oceania"
"University of Santiago de Compostela","Spain","Western Europe"
"University of Exeter","United Kingdom","Western Europe"
"University of Jena","Germany","Western Europe"
"University of Perugia","Italy","Western Europe"
"Justus Liebig University Giessen","Germany","Western Europe"
"College of William and Mary","USA","Caribbean"
"Ben-Gurion University of the Negev","Israel","Western Asia"
"Saint Louis University","USA","Caribbean"
"Colorado School of Mines","USA","Caribbean"
"Oklahoma State University–Stillwater","USA","Caribbean"
"University of Guelph","Canada","Caribbean"
"University of Trieste","Italy","Western Europe"
"University of Verona","Italy","Western Europe"
"University at Albany, SUNY","USA","Caribbean"
"Tongji University","China","Eastern Asia"
"Eötvös Loránd University","Hungary","Eastern Europe"
"University of Alabama - Tuscaloosa","USA","Caribbean"
"University of Eastern Finland","Finland","Western Europe"
"Ewha Womans University","South Korea","Eastern Asia"
"City University of Hong Kong","Hong Kong","Eastern Asia"
"Tokyo Medical and Dental University","Japan","Eastern Asia"
"University of Victoria","Canada","Caribbean"
"University of Buenos Aires","Argentina","South America"
"University of Texas Medical Branch at Galveston","USA","Caribbean"
"Kyung Hee University","South Korea","Eastern Asia"
"Hong Kong Polytechnic University","Hong Kong","Eastern Asia"
"Saarland University","Germany","Western Europe"
"Scuola Normale Superiore di Pisa","Italy","Western Europe"
"University of Seville","Spain","Western Europe"
"Beijing Normal University","China","Eastern Asia"
"Chiba University","Japan","Eastern Asia"
"University of Ferrara","Italy","Western Europe"
"University of Bari Aldo Moro","Italy","Western Europe"
"Polytechnic University of Milan","Italy","Western Europe"
"Temple University","USA","Caribbean"
"University of Turku","Finland","Western Europe"
"Aalto University","Finland","Western Europe"
"Simon Fraser University","Canada","Caribbean"
"Tianjin University","China","Eastern Asia"
"Chalmers University of Technology","Sweden","Western Europe"
"Middle East Technical University","Turkey","Western Asia"
"Cranfield University","United Kingdom","Western Europe"
"York University","Canada","Caribbean"
"Xi'an Jiaotong University","China","Eastern Asia"
"Chonnam National University","South Korea","Eastern Asia"
"University of Central Florida","USA","Caribbean"
"University of Lorraine","France","Western Europe"
"University of Bordeaux II","France","Western Europe"
"University of New Hampshire","USA","Caribbean"
"Versailles Saint-Quentin-en-Yvelines University","France","Western Europe"
"Chonbuk National University","South Korea","Eastern Asia"
"Kumamoto University","Japan","Eastern Asia"
"Huazhong University of Science and Technology","China","Eastern Asia"
"Brunel University","United Kingdom","Western Europe"
"Polytechnic University of Catalonia","Spain","Western Europe"
"National Chiao Tung University","Taiwan","Eastern Asia"
"Southeast University","China","Eastern Asia"
"Tokyo University of Science","Japan","Eastern Asia"
"Catholic University of the Sacred Heart","Italy","Western Europe"
"Brigham Young University","USA","Caribbean"
"Technical University of Madrid","Spain","Western Europe"
"Nagasaki University","Japan","Eastern Asia"
"National Tsing Hua University","Taiwan","Eastern Asia"
"University of Warsaw","Poland","Eastern Europe"
"King Saud University","Saudi Arabia","Western Asia"
"University of Bath","United Kingdom","Western Europe"
"Concordia University","Canada","Caribbean"
"Georgia Regents University","USA","Caribbean"
"Niigata University","Japan","Eastern Asia"
"University of Oulu","Finland","Western Europe"
"Pompeu Fabra University","Spain","Western Europe"
"Vienna University of Technology","Austria","Western Europe"
"Sogang University","South Korea","Eastern Asia"
"Gyeongsang National University","South Korea","Eastern Asia"
"University of Tampere","Finland","Western Europe"
"University of Milan - Bicocca","Italy","Western Europe"
"University of Bordeaux I","France","Western Europe"
"Swedish University of Agricultural Sciences","Sweden","Western Europe"
"George Mason University","USA","Caribbean"
"Jilin University","China","Eastern Asia"
"University of Delhi","India","Southern Asia"
"University of Campinas","Brazil","South America"
"Wuhan University","China","Eastern Asia"
"West Virginia University","USA","Caribbean"
"Pusan National University","South Korea","Eastern Asia"
"University of Mississippi - Oxford Campus","USA","Caribbean"
"University of Arkansas for Medical Sciences","USA","Caribbean"
"Miami University","USA","Caribbean"
"University of Tokushima","Japan","Eastern Asia"
"University of Twente","Netherlands","Caribbean"
"Loyola University Chicago","USA","Caribbean"
"Ajou University","South Korea","Eastern Asia"
"Syracuse University","USA","Caribbean"
"Lancaster University","United Kingdom","Western Europe"
"Pontifical Catholic University of Chile","Chile","South America"
"University of Chile","Chile","South America"
"Innsbruck Medical University","Austria","Western Europe"
"University of Granada","Spain","Western Europe"
"Kanazawa University","Japan","Eastern Asia"
"University of Parma","Italy","Western Europe"
"University of Siena","Italy","Western Europe"
"Shandong University","China","Eastern Asia"
"Technical University of Dortmund","Germany","Western Europe"
"University of KwaZulu-Natal","South Africa","Southern Africa"
"University of Nevada, Reno","USA","Caribbean"
"Yokohama City University","Japan","Eastern Asia"
"École normale supérieure de Lyon","France","Western Europe"
"University College Cork","Ireland","Western Europe"
"Ohio University","USA","Caribbean"
"Central South University","China","Eastern Asia"
"University of Modena and Reggio Emilia","Italy","Western Europe"
"New Mexico State University","USA","Caribbean"
"University of Konstanz","Germany","Western Europe"
"University of Hawaii at Manoa","USA","Caribbean"
"University of Nebraska Omaha","USA","Caribbean"
"Shinshu University","Japan","Eastern Asia"
"University of Strathclyde","United Kingdom","Western Europe"
"Baylor University","USA","Caribbean"
"Polytechnic University of Valencia","Spain","Western Europe"
"Harbin Institute of Technology","China","Eastern Asia"
"University of Rennes 1","France","Western Europe"
"University of Arkansas - Fayetteville","USA","Caribbean"
"Aristotle University of Thessaloniki","Greece","Eastern Europe"
"Jagiellonian University","Poland","Eastern Europe"
"Texas Tech University (TTU)","USA","Caribbean"
"University of Rostock","Germany","Western Europe"
"University of Akron","USA","Caribbean"
"University of Saskatchewan","Canada","Caribbean"
"Juntendo University","Japan","Eastern Asia"
"University of Wyoming","USA","Caribbean"
"Macquarie University","Australia","Oceania"
"University of Canterbury","New Zealand","Oceania"
"University of Denver","USA","Caribbean"
"Illinois Institute of Technology","USA","Caribbean"
"Creighton University","USA","Caribbean"
"Bielefeld University","Germany","Western Europe"
"University of Malaya","Malaysia","South-Eastern Asia"
"University of Ulsan","South Korea","Eastern Asia"
"City University London","United Kingdom","Western Europe"
"Grenoble Institute of Technology","France","Western Europe"
"Federal University of Minas Gerais","Brazil","South America"
"University of Hanover","Germany","Western Europe"
"South China University of Technology","China","Eastern Asia"
"University of Surrey","United Kingdom","Western Europe"
"Otto-von-Guericke University Magdeburg","Germany","Western Europe"
"Indian Institute of Science","India","Southern Asia"
"Tokyo Metropolitan University","Japan","Eastern Asia"
"Bar-Ilan University","Israel","Western Asia"
"Mississippi State University","USA","Caribbean"
"University of Maryland, Baltimore County","USA","Caribbean"
"University of Wollongong","Australia","Oceania"
