CSUR,03600300
JACM,00045411
JDIQ,19361955
JEA,10846654
JETC,15504832
JOCCH,15564673
TAAS,15564665
TACCESS,19367228
TACO,15443566
TALG,15496325
TALLIP,15300226
TAP,15443558
TASLP,23299290
TCBB,15455963
TEAC,21678375
TECS,15399087
TIIS,21606455
TISSEC,10949224
TIST,21576904
TKDD,15564681
TMIS,2158656X
TOCE,NIL
TOCHI,10730516
TOCL,15293785
TOCS,07342071
TOCT,19423454
TODAES,10844309
TODS,03625915
TOG,07300301
TOIS,10468188
TOIT,15335399
TOMACS,10493301
TOMM,15516857
TOMPECS,23763639
TOMS,00983500
TON,10636692
TOPC,23294949
TOPLAS,01640925
TOPS,24712566
TOS,15533077
TOSEM,1049331X
TOSN,15504859
TRETS,19367406
TSAS,23740353
TWEB,15591131