Journal Name,Total Author Count,Author Records with country
CSUR,2876,1957
JACM,4727,3068
JDIQ,213,80
JEA,558,375
JETC,1002,476
JOCCH,470,332
TAAS,700,462
TACCESS,355,157
TACO,1722,1089
TALG,1316,965
TALLIP,830,342
TAP,967,694
TEAC,246,95
TECS,2916,1645
TIIS,431,291
TISSEC,911,437
TIST,1418,866
TKDD,766,403
TMIS,370,192
TOCE,692,265
TOCHI,1380,803
TOCS,1349,681
TOCT,224,66
TODAES,2419,1356
TODS,2191,1445
TOG,8462,2536
TOIS,1606,969
TOIT,832,494
TOMACS,1180,745
TOMM,1427,982
TON,6410,4474
TOPC,135,59
TOPLAS,2166,1302
TOS,671,270
TOSEM,1110,687
TOSN,1568,1043
TSAS,40,34
TWEB,625,328